Number	Name (English)	IPA (English)	Evolves from (English)	Name (Japanese)	Evolves from (Japanese)	Name (French)	Evolves from (French)	Name (Spanish)	Evolves from (Spanish)	Name (German)	Evolves from (German)	Name (Italian)	Evolves from (Italian)	Name (Korean)	Evolves from (Korean)	Name (Mandarin)	Evolves from (Mandarin)	Evolves into (English)	Total evolutionary stages	Evolutionary stage code	Baby	Legendary	Types	Weight (lb)	Weight (kg)	Height (in)	Height (m)	Percentage male	Percentage female	HP	Attack	Defense	Special Attack	Special Defense	Speed	Total Power	Bulbapedia URL
0011	Metapod	ˈmɛɾəpɑːd	Caterpie	toranseru	kyatapii	Chrysacier	Chenipan	Metapod	Caterpie	Safcon	Raupy	Metapod	Caterpie	Tandegi	Caterpie	Tiějiǎyǒng	Lǜmáochóng	{'Butterfree'}	3	3b	False	False	[('Bug',)]	21.8	9.9	28	0.7	50.0	50.0	50	20	55	25	25	30	205	"/wiki/Metapod_(Pok%C3%A9mon)"
0012	Butterfree	ˈbʌɾɚfɹiː	Metapod	batafurii	toranseru	Papilusion	Chrysacier	Butterfree	Metapod	Smettbo	Safcon	Butterfree	Metapod	Butterfle	Tandegi	Bādàdié	Tiějiǎyǒng	n/a	3	3c	False	False	[('Bug', 'Flying')]	70.5	32.0	43	1.1	50.0	50.0	60	45	50	80	80	70	385	"/wiki/Butterfree_(Pok%C3%A9mon)"
0013	Weedle	ˈwiːdəl	n/a	biidoru	n/a	Aspicot	n/a	Weedle	n/a	Hornliu	n/a	Weedle	n/a	Ppulchungi	n/a	Dújiǎochóng	n/a	{'Kakuna'}	3	3a	False	False	[('Bug', 'Poison')]	7.1	3.2	12	0.3	50.0	50.0	40	35	30	20	20	50	195	"/wiki/Weedle_(Pok%C3%A9mon)"
0014	Kakuna	kəˈkuːnə	Weedle	kokuun	biidoru	Coconfort	Aspicot	Kakuna	Weedle	Kokuna	Hornliu	Kakuna	Weedle	Ttakchungi	Ppulchungi	Tiěkéyǒng	Dújiǎochóng	{'Beedrill'}	3	3b	False	False	[('Bug', 'Poison')]	22.0	10.0	24	0.6	50.0	50.0	45	25	50	25	25	35	205	"/wiki/Kakuna_(Pok%C3%A9mon)"
0015	Beedrill	ˈbiːdɹɪl	Kakuna	supiaa	kokuun	Dardargnan	Coconfort	Beedrill	Kakuna	Bibor	Kokuna	Beedrill	Kakuna	Tokchimbung	Ttakchungi	Dàzhēnfēng	Tiěkéyǒng	n/a	3	3c	False	False	[('Bug', 'Poison')]	65.0	29.5	39	1.0	50.0	50.0	65	80	40	45	80	75	385	"/wiki/Beedrill_(Pok%C3%A9mon)"
0016	Pidgey	ˈpɪdʒiː	n/a	poppo	n/a	Roucool	n/a	Pidgey	n/a	Taubsi	n/a	Pidgey	n/a	Gugu	n/a	Bōbō	n/a	{'Pidgeotto'}	3	3a	False	False	[('Normal', 'Flying')]	4.0	1.8	12	0.3	50.0	50.0	40	45	40	35	35	56	251	"/wiki/Pidgey_(Pok%C3%A9mon)"
0017	Pidgeotto	ˌpɪdʒiːˈoʊɾoʊ	Pidgey	pijon	poppo	Roucoups	Roucool	Pidgeotto	Pidgey	Tauboga	Taubsi	Pidgeotto	Pidgey	Pijon	Gugu	Bǐbǐniǎo	Bōbō	{'Pidgeot'}	3	3b	False	False	[('Normal', 'Flying')]	66.1	30.0	43	1.1	50.0	50.0	63	60	55	50	50	71	349	"/wiki/Pidgeotto_(Pok%C3%A9mon)"
0018	Pidgeot	ˈpɪdʒiːɑːt	Pidgeotto	pijotto	pijon	Roucarnage	Roucoups	Pidgeot	Pidgeotto	Tauboss	Tauboga	Pidgeot	Pidgeotto	Pijontoo	Pijon	Dàbǐniǎo	Bǐbǐniǎo	n/a	3	3c	False	False	[('Normal', 'Flying')]	87.1	39.5	59	1.5	50.0	50.0	83	80	75	70	70	91	469	"/wiki/Pidgeot_(Pok%C3%A9mon)"
0019	Rattata	ɹəˈtæɾə	n/a	koratta	n/a	Rattata	n/a	Rattata	n/a	Rattfratz	n/a	Rattata	n/a	Koret	n/a	Xiǎolādá	n/a	{'Raticate'}	2	2a	False	False	[('Dark', 'Normal'), ('Normal',)]	7.7	3.5	12	0.3	50.0	50.0	30	56	35	25	35	72	253	"/wiki/Rattata_(Pok%C3%A9mon)"
0020	Raticate	ˈɹæɾɪkeɪt	Rattata	ratta	koratta	Rattatac	Rattata	Raticate	Rattata	Rattikarl	Rattfratz	Raticate	Rattata	Retra	Koret	Lādá	Xiǎolādá	n/a	2	2b	False	False	[('Dark', 'Normal'), ('Normal',)]	40.8	18.5	28	0.7	50.0	50.0	55	81	60	50	70	97	413	"/wiki/Raticate_(Pok%C3%A9mon)"
0021	Spearow	ˈspɪɹoʊ	n/a	onisuzume	n/a	Piafabec	n/a	Spearow	n/a	Habitak	n/a	Spearow	n/a	Kebicham	n/a	Lièquè	n/a	{'Fearow'}	2	2a	False	False	[('Normal', 'Flying')]	4.4	2.0	12	0.3	50.0	50.0	40	60	30	31	31	70	262	"/wiki/Spearow_(Pok%C3%A9mon)"
0022	Fearow	ˈfɪɹoʊ	Spearow	onidoriru	onisuzume	Rapasdepic	Piafabec	Fearow	Spearow	Ibitak	Habitak	Fearow	Spearow	Kebidrillzo	Kebicham	Dàzuǐquè	Lièquè	n/a	2	2b	False	False	[('Normal', 'Flying')]	83.8	38.0	47	1.2	50.0	50.0	65	90	65	61	61	100	442	"/wiki/Fearow_(Pok%C3%A9mon)"
0023	Ekans	ˈɛkənz	n/a	aabo	n/a	Abo	n/a	Ekans	n/a	Rettan	n/a	Ekans	n/a	Abo	n/a	Ābóshé	n/a	{'Arbok'}	2	2a	False	False	[('Poison',)]	15.2	6.9	79	2.0	50.0	50.0	35	60	44	40	54	55	288	"/wiki/Ekans_(Pok%C3%A9mon)"
0024	Arbok	ˈɑːɹbɑːk	Ekans	aabokku	aabo	Arbok	Abo	Arbok	Ekans	Arbok	Rettan	Arbok	Ekans	Arbok	Abo	Ābóguài	Ābóshé	n/a	2	2b	False	False	[('Poison',)]	143.3	65.0	138	3.5	50.0	50.0	60	85	69	65	79	80	438	"/wiki/Arbok_(Pok%C3%A9mon)"
0025	Pikachu	ˈpiːkətʃuː	Pichu	pikachuu	pichuu	Pikachu	Pichu	Pikachu	Pichu	Pikachu	Pichu	Pikachu	Pichu	Pikachu	Pichu	Píkǎqiū	Píqiū	{'Raichu'}	3	3b	False	False	[('Electric',)]	13.2	6.0	16	0.4	50.0	50.0	35	55	30	50	40	90	300	"/wiki/Pikachu_(Pok%C3%A9mon)"
0026	Raichu	ˈɹaɪtʃuː	Pikachu	raichuu	pikachuu	Raichu	Pikachu	Raichu	Pikachu	Raichu	Pikachu	Raichu	Pikachu	Raichu	Pikachu	Léiqiū	Píkǎqiū	n/a	3	3c	False	False	[('Electric', 'Psychic'), ('Electric',)]	66.1	30.0	31	0.8	50.0	50.0	60	90	55	90	80	100	475	"/wiki/Raichu_(Pok%C3%A9mon)"
0027	Sandshrew	ˈsændʃɹuː	n/a	sando	n/a	Sabelette	n/a	Sandshrew	n/a	Sandan	n/a	Sandshrew	n/a	Moreduji	n/a	Chuānshānshǔ	n/a	{'Sandslash'}	2	2a	False	False	[('Ice', 'Steel'), ('Ground',)]	26.5	12.0	24	0.6	50.0	50.0	50	75	85	20	30	40	300	"/wiki/Sandshrew_(Pok%C3%A9mon)"
0028	Sandslash	ˈsændslæʃ	Sandshrew	sandopan	sando	Sablaireau	Sabelette	Sandslash	Sandshrew	Sandamer	Sandan	Sandslash	Sandshrew	Koji	Moreduji	Chuānshānwáng	Chuānshānshǔ	n/a	2	2b	False	False	[('Ice', 'Steel'), ('Ground',)]	65.0	29.5	39	1.0	50.0	50.0	75	100	110	45	55	65	450	"/wiki/Sandslash_(Pok%C3%A9mon)"
0029	Nidoran♀	ˈniːdoʊɹæn (ˈfiːmeɪl)	n/a	nidoran	n/a	Nidoran♀	n/a	Nidoran♀	n/a	Nidoran♀	n/a	Nidoran♀	n/a	Nidoran♀	n/a	Níduōlán	n/a	{'Nidorina'}	3	3a	False	False	[('Poison',)]	15.4	7.0	16	0.4	0.0	100.0	55	47	52	40	40	41	275	"/wiki/Nidoran%E2%99%80_(Pok%C3%A9mon)"
0030	Nidorina	ˌniːdoʊˈɹiːnə	Nidoran♀	nidoriina	nidoran	Nidorina	Nidoran♀	Nidorina	Nidoran♀	Nidorina	Nidoran♀	Nidorina	Nidoran♀	Nidorina	Nidoran♀	Níduōnà	Níduōlán	{'Nidoqueen'}	3	3b	False	False	[('Poison',)]	44.1	20.0	31	0.8	0.0	100.0	70	62	67	55	55	56	365	"/wiki/Nidorina_(Pok%C3%A9mon)"
0031	Nidoqueen	ˈniːdoʊkwiːn	Nidorina	nidokuin	nidoriina	Nidoqueen	Nidorina	Nidoqueen	Nidorina	Nidoqueen	Nidorina	Nidoqueen	Nidorina	Nidoqueen	Nidorina	Níduōhòu	Níduōnà	n/a	3	3c	False	False	[('Poison', 'Ground')]	132.3	60.0	51	1.3	0.0	100.0	90	82	87	75	85	76	495	"/wiki/Nidoqueen_(Pok%C3%A9mon)"
0032	Nidoran♂	ˈniːdoʊɹæn (ˈmeɪl)	n/a	nidoran	n/a	Nidoran♂	n/a	Nidoran♂	n/a	Nidoran♂	n/a	Nidoran♂	n/a	Nidoran♂	n/a	Níduōláng	n/a	{'Nidorino'}	3	3a	False	False	[('Poison',)]	19.8	9.0	20	0.5	100.0	0.0	46	57	40	40	40	50	273	"/wiki/Nidoran%E2%99%82_(Pok%C3%A9mon)"
0033	Nidorino	ˌniːdoʊˈɹiːnoʊ	Nidoran♂	nidoriino	nidoran	Nidorino	Nidoran♂	Nidorino	Nidoran♂	Nidorino	Nidoran♂	Nidorino	Nidoran♂	Nidorino	Nidoran♂	Níduōlìnuò	Níduōláng	{'Nidoking'}	3	3b	False	False	[('Poison',)]	43.0	19.5	35	0.9	100.0	0.0	61	72	57	55	55	65	365	"/wiki/Nidorino_(Pok%C3%A9mon)"
0034	Nidoking	ˈniːdoʊkɪŋ	Nidorino	nidokingu	nidoriino	Nidoking	Nidorino	Nidoking	Nidorino	Nidoking	Nidorino	Nidoking	Nidorino	Nidoking	Nidorino	Níduōwáng	Níduōlìnuò	n/a	3	3c	False	False	[('Poison', 'Ground')]	136.7	62.0	55	1.4	100.0	0.0	81	92	77	85	75	85	495	"/wiki/Nidoking_(Pok%C3%A9mon)"
0035	Clefairy	klɛˈfɛɹiː	Cleffa	pippi	pii	Mélofée	Mélo	Clefairy	Cleffa	Piepi	Pii	Clefairy	Cleffa	Ppippi	Ppi	Pǐpǐ	Píbǎobao	{'Clefable'}	3	3b	False	False	[('Fairy',)]	16.5	7.5	24	0.6	25.0	75.0	70	45	48	60	65	35	323	"/wiki/Clefairy_(Pok%C3%A9mon)"
0036	Clefable	klɛˈfeɪbəl	Clefairy	pikushii	pippi	Mélodelfe	Mélofée	Clefable	Clefairy	Pixi	Piepi	Clefable	Clefairy	Pixy	Ppippi	Píkěxī	Pǐpǐ	n/a	3	3c	False	False	[('Fairy',)]	88.2	40.0	51	1.3	25.0	75.0	95	70	73	85	90	60	473	"/wiki/Clefable_(Pok%C3%A9mon)"
0037	Vulpix	ˈvʊlpɪks	n/a	rokon	n/a	Goupix	n/a	Vulpix	n/a	Vulpix	n/a	Vulpix	n/a	Sixtail	n/a	Liùwěi	n/a	{'Ninetales'}	2	2a	False	False	[('Fire',), ('Ice',)]	21.8	9.9	24	0.6	25.0	75.0	38	41	40	50	65	65	299	"/wiki/Vulpix_(Pok%C3%A9mon)"
0038	Ninetales	ˈnaɪnteɪlz	Vulpix	kyuukon	rokon	Feunard	Goupix	Ninetales	Vulpix	Vulnona	Vulpix	Ninetales	Vulpix	Ninetail	Sixtail	Jiǔwěi	Liùwěi	n/a	2	2b	False	False	[('Ice', 'Fairy'), ('Fire',)]	43.9	19.9	43	1.1	25.0	75.0	73	76	75	81	100	100	505	"/wiki/Ninetales_(Pok%C3%A9mon)"
0039	Jigglypuff	ˈdʒɪɡliːpʌf	Igglybuff	purin	pupurin	Rondoudou	Toudoudou	Jigglypuff	Igglybuff	Pummeluff	Fluffeluff	Jigglypuff	Igglybuff	Purin	Pupurin	Pàngdīng	Băobaodīng	{'Wigglytuff'}	3	3b	False	False	[('Normal', 'Fairy')]	12.1	5.5	20	0.5	25.0	75.0	115	45	20	45	25	20	270	"/wiki/Jigglypuff_(Pok%C3%A9mon)"
0040	Wigglytuff	ˈwɪɡliːtʌf	Jigglypuff	pukurin	purin	Grodoudou	Rondoudou	Wigglytuff	Jigglypuff	Knuddeluff	Pummeluff	Wigglytuff	Jigglypuff	Pukurin	Purin	Pàngkědīng	Pàngdīng	n/a	3	3c	False	False	[('Normal', 'Fairy')]	26.5	12.0	39	1.0	25.0	75.0	140	70	45	75	50	45	425	"/wiki/Wigglytuff_(Pok%C3%A9mon)"
0041	Zubat	ˈzuːbæt	n/a	zubatto	n/a	Nosferapti	n/a	Zubat	n/a	Zubat	n/a	Zubat	n/a	Zubat	n/a	Chāoyīnfú	n/a	{'Golbat'}	3	3a	False	False	[('Poison', 'Flying')]	16.5	7.5	31	0.8	50.0	50.0	40	45	35	30	40	55	245	"/wiki/Zubat_(Pok%C3%A9mon)"
0042	Golbat	ˈɡɔːlbæt	Zubat	gorubatto	zubatto	Nosferalto	Nosferapti	Golbat	Zubat	Golbat	Zubat	Golbat	Zubat	Golbat	Zubat	Dàzuǐfú	Chāoyīnfú	{'Crobat'}	3	3b	False	False	[('Poison', 'Flying')]	121.3	55.0	63	1.6	50.0	50.0	75	80	70	65	75	90	455	"/wiki/Golbat_(Pok%C3%A9mon)"
0043	Oddish	ˈɑːdɪʃ	n/a	nazonokusa	n/a	Mystherbe	n/a	Oddish	n/a	Myrapla	n/a	Oddish	n/a	Ttubeogcho	n/a	Zǒulùcǎo	n/a	{'Gloom'}	3	3a	False	False	[('Grass', 'Poison')]	11.9	5.4	20	0.5	50.0	50.0	45	50	55	75	65	30	320	"/wiki/Oddish_(Pok%C3%A9mon)"
0044	Gloom	ˈɡluːm	Oddish	kusaihana	nazonokusa	Ortide	Mystherbe	Gloom	Oddish	Duflor	Myrapla	Gloom	Oddish	Naemsaeko	Ttubeogcho	Chòuchòuhuā	Zǒulùcǎo	{'Bellossom', 'Vileplume'}	3	3b	False	False	[('Grass', 'Poison')]	19.0	8.6	31	0.8	50.0	50.0	60	65	70	85	75	40	395	"/wiki/Gloom_(Pok%C3%A9mon)"
0045	Vileplume	ˈvaɪlpluːm	Gloom	rafureshia	kusaihana	Rafflesia	Ortide	Vileplume	Gloom	Giflor	Duflor	Vileplume	Gloom	Raplresia	Naemsaeko	Bàwánghuā	Chòuchòuhuā	n/a	3	3c	False	False	[('Grass', 'Poison')]	41.0	18.6	47	1.2	50.0	50.0	75	80	85	100	90	50	480	"/wiki/Vileplume_(Pok%C3%A9mon)"
0046	Paras	ˈpɛɹəs	n/a	parasu	n/a	Paras	n/a	Paras	n/a	Paras	n/a	Paras	n/a	Paras	n/a	Pàilāsī	n/a	{'Parasect'}	2	2a	False	False	[('Bug', 'Grass')]	11.9	5.4	12	0.3	50.0	50.0	35	70	55	45	55	25	285	"/wiki/Paras_(Pok%C3%A9mon)"
0047	Parasect	ˈpɛɹəsɛkt	Paras	parasekuto	parasu	Parasect	Paras	Parasect	Paras	Parasek	Paras	Parasect	Paras	Parasect	Paras	Pàilāsītè	Pàilāsī	n/a	2	2b	False	False	[('Bug', 'Grass')]	65.0	29.5	39	1.0	50.0	50.0	60	95	80	60	80	30	405	"/wiki/Parasect_(Pok%C3%A9mon)"
0048	Venonat	ˈvɛnoʊnæt	n/a	konpan	n/a	Mimitoss	n/a	Venonat	n/a	Bluzuk	n/a	Venonat	n/a	Konpan	n/a	Máoqiú	n/a	{'Venomoth'}	2	2a	False	False	[('Bug', 'Poison')]	66.1	30.0	39	1.0	50.0	50.0	60	55	50	40	55	45	305	"/wiki/Venonat_(Pok%C3%A9mon)"
0049	Venomoth	ˈvɛnoʊmɑːθ	Venonat	morufon	konpan	Aéromite	Mimitoss	Venomoth	Venonat	Omot	Bluzuk	Venomoth	Venonat	Donari	Konpan	Mólǔ'é	Máoqiú	n/a	2	2b	False	False	[('Bug', 'Poison')]	27.6	12.5	59	1.5	50.0	50.0	70	65	60	90	75	90	450	"/wiki/Venomoth_(Pok%C3%A9mon)"
0050	Diglett	ˈdɪɡlət	n/a	diguda	n/a	Taupiqueur	n/a	Diglett	n/a	Digda	n/a	Diglett	n/a	Digda	n/a	Dìshǔ	n/a	{'Dugtrio'}	2	2a	False	False	[('Ground', 'Steel'), ('Ground',)]	1.8	0.8	8	0.2	50.0	50.0	10	55	25	35	45	95	265	"/wiki/Diglett_(Pok%C3%A9mon)"
0051	Dugtrio	dʌɡˈtɹiːoʊ	Diglett	dagutorio	diguda	Triopikeur	Taupiqueur	Dugtrio	Diglett	Digdri	Digda	Dugtrio	Diglett	Daktrio	Digda	Sāndìshǔ	Dìshǔ	n/a	2	2b	False	False	[('Ground', 'Steel'), ('Ground',)]	73.4	33.3	28	0.7	50.0	50.0	35	80	50	50	70	120	405	"/wiki/Dugtrio_(Pok%C3%A9mon)"
0052	Meowth	miːˈaʊθ	n/a	nyaasu	n/a	Miaouss	n/a	Meowth	n/a	Mauzi	n/a	Meowth	n/a	Naong	n/a	Miāomiāo	n/a	{'Perrserker', 'Persian'}	2	2a	False	False	[('Normal',), ('Dark',), ('Steel',)]	9.3	4.2	16	0.4	50.0	50.0	40	45	35	40	40	90	290	"/wiki/Meowth_(Pok%C3%A9mon)"
0053	Persian	ˈpɝːʒən	Meowth	perushian	nyaasu	Persian	Miaouss	Persian	Meowth	Snobilikat	Mauzi	Persian	Meowth	Persion	Naong	Māolǎodà	Miāomiāo	n/a	2	2b	False	False	[('Normal',), ('Dark',)]	70.5	32.0	39	1.0	50.0	50.0	65	70	60	65	65	115	440	"/wiki/Persian_(Pok%C3%A9mon)"
0054	Psyduck	ˈsaɪdʌk	n/a	kodakku	n/a	Psykokwak	n/a	Psyduck	n/a	Enton	n/a	Psyduck	n/a	Gorapaduck	n/a	Kědáyā	n/a	{'Golduck'}	2	2a	False	False	[('Water',)]	43.2	19.6	31	0.8	50.0	50.0	50	52	48	65	50	55	320	"/wiki/Psyduck_(Pok%C3%A9mon)"
0055	Golduck	ˈɡɔːldʌk	Psyduck	gorudakku	kodakku	Akwakwak	Psykokwak	Golduck	Psyduck	Entoron	Enton	Golduck	Psyduck	Golduck	Gorapaduck	Gēdáyā	Kědáyā	n/a	2	2b	False	False	[('Water',)]	168.9	76.6	67	1.7	50.0	50.0	80	82	78	95	80	85	500	"/wiki/Golduck_(Pok%C3%A9mon)"
0056	Mankey	ˈmæŋkiː	n/a	mankii	n/a	Férosinge	n/a	Mankey	n/a	Menki	n/a	Mankey	n/a	Mankey	n/a	Hóuguài	n/a	{'Primeape'}	3	3a	False	False	[('Fighting',)]	61.7	28.0	20	0.5	50.0	50.0	40	80	35	35	45	70	305	"/wiki/Mankey_(Pok%C3%A9mon)"
0057	Primeape	ˈpɹaɪmeɪp	Mankey	okorizaru	mankii	Colossinge	Férosinge	Primeape	Mankey	Rasaff	Menki	Primeape	Mankey	Seongwonsung	Mankey	Huǒbàohóu	Hóuguài	{'Annihilape'}	3	3b	False	False	[('Fighting',)]	70.5	32.0	39	1.0	50.0	50.0	65	105	60	60	70	95	455	"/wiki/Primeape_(Pok%C3%A9mon)"
0058	Growlithe	ˈɡɹaʊlɪθ	n/a	gaadi	n/a	Caninos	n/a	Growlithe	n/a	Fukano	n/a	Growlithe	n/a	Gadi	n/a	Kǎdìgǒu	n/a	{'Arcanine'}	2	2a	False	False	[('Fire', 'Rock'), ('Fire',)]	41.9	19.0	28	0.7	75.0	25.0	55	70	45	70	50	60	350	"/wiki/Growlithe_(Pok%C3%A9mon)"
0059	Arcanine	ˈɑːɹkənɑɪn	Growlithe	uindi	gaadi	Arcanin	Caninos	Arcanine	Growlithe	Arkani	Fukano	Arcanine	Growlithe	Windi	Gadi	Fēngsùgǒu	Kǎdìgǒu	n/a	2	2b	False	False	[('Fire', 'Rock'), ('Fire',)]	341.7	155.0	75	1.9	75.0	25.0	90	110	80	100	80	95	555	"/wiki/Arcanine_(Pok%C3%A9mon)"
0060	Poliwag	ˈpɑːliːwæɡ	n/a	nyoromo	n/a	Ptitard	n/a	Poliwag	n/a	Quapsel	n/a	Poliwag	n/a	Balchengi	n/a	Wénxiāngkēdǒu	n/a	{'Poliwhirl'}	3	3a	False	False	[('Water',)]	27.3	12.4	24	0.6	50.0	50.0	40	50	40	40	40	90	300	"/wiki/Poliwag_(Pok%C3%A9mon)"
0061	Poliwhirl	ˈpɑːliːwɝːl	Poliwag	nyorozo	nyoromo	Têtarte	Ptitard	Poliwhirl	Poliwag	Quaputzi	Quapsel	Poliwhirl	Poliwag	Syuryukchaengi	Balchengi	Wénxiāngjūn	Wénxiāngkēdǒu	{'Politoed', 'Poliwrath'}	3	3b	False	False	[('Water',)]	44.1	20.0	39	1.0	50.0	50.0	65	65	65	50	50	90	385	"/wiki/Poliwhirl_(Pok%C3%A9mon)"
0062	Poliwrath	ˈpɑːliːɹæθ	Poliwhirl	nyorobon	nyorozo	Tartard	Têtarte	Poliwrath	Poliwhirl	Quappo	Quaputzi	Poliwrath	Poliwhirl	Gangchaengi	Syuryukchaengi	Wénxiāngyǒngshì	Wénxiāngjūn	n/a	3	3c	False	False	[('Water', 'Fighting')]	119.0	54.0	51	1.3	50.0	50.0	90	85	95	70	90	70	500	"/wiki/Poliwrath_(Pok%C3%A9mon)"
0063	Abra	ˈæbɹə	n/a	keeshii	n/a	Abra	n/a	Abra	n/a	Abra	n/a	Abra	n/a	Keisi	n/a	Kǎixī	n/a	{'Kadabra'}	3	3a	False	False	[('Psychic',)]	43.0	19.5	35	0.9	75.0	25.0	25	20	15	105	55	90	310	"/wiki/Abra_(Pok%C3%A9mon)"
0064	Kadabra	kəˈdæbɹə	Abra	yungeraa	keeshii	Kadabra	Abra	Kadabra	Abra	Kadabra	Abra	Kadabra	Abra	Yunghelar	Keisi	Yǒngjīlā	Kǎixī	{'Alakazam'}	3	3b	False	False	[('Psychic',)]	124.6	56.5	51	1.3	75.0	25.0	40	35	30	120	70	105	400	"/wiki/Kadabra_(Pok%C3%A9mon)"
0065	Alakazam	ˌæləkəˈzæm	Kadabra	fuudin	yungeraa	Alakazam	Kadabra	Alakazam	Kadabra	Simsala	Kadabra	Alakazam	Kadabra	Fudin	Yunghelar	Húdì	Yǒngjīlā	n/a	3	3c	False	False	[('Psychic',)]	105.8	48.0	59	1.5	75.0	25.0	55	50	45	135	85	120	490	"/wiki/Alakazam_(Pok%C3%A9mon)"
